,positions,locations,company_names,posted_dates,descriptions
3,Data Scientist,"Mountain View, CA, USA",Jobot,Posted 10 days ago,"This Jobot Job is hosted by: Christina Finster Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $130,000 - $160,000 per year A bit about us: Our client is an early stage startup that is on a mission to democratize AI by empowering business users to harness the power of AI and ML. Why join us? Remote Work Early stage start-up A founder who has exited multiple companies Job Details You love data and use data to seek answers to complex que"
4,Data Scientist Senior,"Irving, TX, USA",Christus Health,Posted 5 days ago,"Description Summary: The Data Scientist Senior is responsible for discovering information hidden in vast amounts of data through design, development and implementation of optimal Prescriptive, Predictive and Descriptive analytics solutions. Individual must have extensive knowledge of Statistical Models, Data Mining, Machine Learning and proven experience in building custom algorithms to deliver insights. Individual must have proven programming competency in advanced Data Science toolkits such as"
5,Data Scientist,"Jackson, MS, USA",Swift Strategic Solutions Inc,Posted 4 days ago,"A Public Sector client of ours is looking for Data Scientist to work on their ongoing project in Jackson, MS office. Below are the additional details of this role: Required Skills: We need a minimum of 7+Year hands on experience in the following. 7 years working as a data scientist with Information Technology (IT) projects.3 years' experience working with Medicaid programs to develop organizational data strategy and improve data quality by reinforcing data integrity3 years' experience wi"
6,Lead Data Scientist,"San Francisco, CA, USA",Jobot,Posted 6 days ago,"This Jobot Job is hosted by: Zackary Brittain Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $165,000 - $185,000 per year A bit about us: Our client is an early stage startup that is on a mission to democratize AI by empowering business users to harness the power of AI and ML. Using their product, Business Analysts and Data Scientists can build AI powered Apps and Interactive Dashboards using a ""drag and drop"" method without the need to wri"
7,Lead Data Scientist,"Seattle, WA, USA",Jobot,Posted 6 days ago,"This Jobot Job is hosted by: Zackary Brittain Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $165,000 - $185,000 per year A bit about us: Our client is an early stage startup that is on a mission to democratize AI by empowering business users to harness the power of AI and ML. Using their product, Business Analysts and Data Scientists can build AI powered Apps and Interactive Dashboards using a ""drag and drop"" method without the need to wri"
8,Quant/Data Scientist,"Pittsburgh, PA, USA",Eliassen Group,Posted 5 days ago,"**Hybrid - 2 days per week onsite in Pittsburgh required** We're looking for a talented Data Scientist to join our industry-leading client. You will join a modeling team focused on the back-end. Due to client requirement, applicants must be willing and able to work on a w2 basis. For our w2 consultants, we offer a great benefits package that includes Medical, Dental, and Vision benefits, 401k with company matching, and life insurance. Requirements of the Quant/Data Scientist: Bachelor's degree"
9,Data Scientist (Medicaid/healthcare),"Jackson, MS, USA",Esteem IT,Posted 10 days ago,"Job: Data Scientist - MS - Medicaid-112566Client: State of Mississippi Location: Jackson, MS (Onsite and Remote ) Visa: Any Dept/Agency: MS Division of Medicaid Shift timings: 8 AM to 5 PM No. of Hours per week: 40 Note: Preference will be given to candidates who can work 40 hours a week at the DOM office, located in Jackson MS, for the duration of the contract. Alternatively, candidates who travel will be considered, however, they will be required to be in the office, in Jackson, MS, ever"
10,Sr. Data Scientist,"Fairfax, VA, USA",Creative Financial Staffing,Posted 55 days ago,Data Scientist Job Description CFS Technology has been contacted by a longtime client that has a need for a talented Data Scientist. CFS Technology works hard and diligently on your behalf to make certain that your next career move is the best choice you have made. This is a unique position working alongside a tight knit team. Data Scientist Job Responsibilities As a Data Scientist you will play an integral part within our client’s Information Technology Department. This will involve assist
11,Data Scientist Journeyman,"Springfield, VA, USA","Electronic Consulting Services, Inc (ECS Federal)",Posted 11 days ago,"ECS is seeking a Data Scientist Journeyman to work in our Springfield, VA or St. Louis, MO office. Job Description: AOE Data Scientist provide data expertise and mentoring to the Eurasia Line of Business in scripting, modeling, mining, and visualization by applying moderately complex tools and algorithms to identify trends and patterns in data, as well as identifying new techniques and capabilities for analytics through conditioning of data. In addition to the duties outlines in the Base SOW, t"
12,Clinical NLP Data Scientist,"Arlington, VA, USA",Jobot,Posted 4 days ago,"This is a remote opportunity for candidates in the greater DMV area! This Jobot Job is hosted by: Kyle Shaw Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $130,000 - $160,000 per year A bit about us: We are a healthcare analytics startup that uses NLP to draw insights and data from medical records and provide healthcare providers with insights into patient outcomes, morbidity, etc, all in a effort to improve patient care experiences and pa"
13,Data Scientist (Cleared Enviroment),"Omaha, NE, USA",Motion Recruitment,Posted 5 days ago,"Seeking a Data Scientist to join an enterprise analytics team. You would be formulating business problems to build end-to-end analytics solutions. Collaboration with data scientists, data engineers, product owners, and business experts to support entire data lifecycle. Candidate must hold an active clearance (secret, top secret, TS/SCI). Responsibilities Cross function to define, collect, and wrangle data Build and deploy machine learning models and make recommendations Communicate findings to"
14,Data Scientist - Director,"Indianapolis, IN, USA",Eli Lilly and Company,Posted 7 days ago,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We're looking for people who are det"
15,Data Scientist - Enterprise,"Indianapolis, IN, USA",Eli Lilly and Company,Posted 7 days ago,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We're looking for people who are det"
16,Senior Data Scientist,"Grand Junction, CO, USA",Motion Recruitment,Posted 13 days ago,"Job Description A client of ours in the finance industry in looking to hire a Senior Data Scientist onto their team. You will be building/modeling algorithms and optimizing data pipelines, architectures, and data sets. You must be proficient using Python, SQL and AWS. This role is 100% remote. Required Skills & Experience Professional experience with machine learning algorithms Fluent in Python and SQL Professional software development experience AWS experience Desired Skills & Experience Deg"
17,Data Scientist - Forecasting,"Indianapolis, IN, USA",Eli Lilly and Company,Posted 7 days ago,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We're looking for people who are det"
18,Data Scientist,"Estero, FL, USA",Hertz,Posted 21 days ago,"General Responsibilities: The Data Scientist is responsible for generating insights and recommendations from Hertz's rich history of observational data. Working closely with management and senior level data scientists, the Data Scientist will build descriptive, predictive, and prescriptive models with the ultimate goal of maximizing profit and gaining a competitive advantage in the market. Curate data from many sources including internal databases and external APIs, and aggregate data to a forma"
19,"Data Scientist, Analytics","Reston, VA, USA",comScore,Posted 13 days ago,"December 13, 2022 Data Scientist, Analytics Per Executive Order 14042, new or prospective Comscore, Inc. employees in the United States, must provide proof of complete vaccination, or approved exemption on the first day of their employment. Comscore is a leading big data technology company that measures what matters to make cross-platform audiences and advertising more valuable. We are seeking a Data Analyst, Data Science to mine our large-scale data sets (2 Trillion + records/month) and provid"
0,Data Scientist,Remote,"CS Solutions, Inc.",Posted 11 days ago,"This is a remote position. As a data scientist, you will… Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates dataDetermines analytics approach to solve business problems; incorporates machine learning algorithms where appropriateEmploys scaling & automation to data preparation techniquesTransform model outputs into formats that are digestible to the end users through visualization, clear tables, and/or thoughtful presentations. Assist tec"
1,Trading/Quantitative Data Scientist,"Greenwich, CT, USA",Focus Capital Markets,Posted 7 days ago,"Focus Capital's head commodity futures trader has years of data that can be utilized, and through machine learning can be developed into seamless electronic trading for liquid markets in the energy space. We are looking for someone who can be a dedicated resource with mathematical experience in the quantitative fintech world and a strong interest in Data Science and statistics. This person will use machine learning techniques to assist the head trader in developing new ideas for the liquid commo"
2,Data Scientist,"Fremont, CA, USA",Sumeru,Posted 11 days ago,"Position- Data Scientist Location Fremont, California (Day 1 Onsite Position ) Experience-9+ Years Duties Identify business problems and solve them by using various numerical techniques, algorithms, and models in Operations Research, Data Science, and Data Mining. Tackle problems on a broad spectrum of areas: Supply Chain Optimization, Inventory & Capacity Planning, Process Design & Optimization, Financial Modeling, Demand Forecasting. Design and develop creative and innovative Business Intell"
3,Junior Data Scientist Intern,"Durham, NC, USA",Labcorp,Posted 6 days ago,"Labcorp is recruiting a Jr. Data Scientist as a summer intern to join our dynamic Clinical Informatics team in RTP, NC. This team is part of the Global Data Strategy team. Get ready to redefine what's possible and discover your extraordinary potential at Labcorp. Here, you'll have the opportunity to personally advance healthcare and make a difference in peoples' lives with your bold ideas and unique point of view. With the support of exceptional people from across the globe and an energized purp"
4,Data Scientist,"New York, NY, USA",Top Prospect Group,Posted 12 days ago,Top Prospect Group is working with a large Healthcare Organization that is looking for a full time permanent Data Scientist. Must have Healthcare experience-Remote but will be asked to come onsite once a quarter or so. $100-110K-Benefits-NLP/Python/SQL The primary goal of the Data Scientist is to use data science and analytics to support the value-based physician performance and implementation of AI/ML solutions that improved the health of our patients. This individual will report to the Lead Da
5,Data Scientist,"Lawrence Township, NJ, USA",Robert Half,Posted 17 days ago,"Description Use statistical methods to improve the optical and color performance of new color-measuring instrument designs.Create, improve, and large databases of historical collected measurements by fielded instruments.Solve new and emerging technical problems as part of the Development Team, including design of critical experiments to isolate causes of the problems.Contribute to the company's growing expertise in machine learning-both in the process of product creation and in the products them"
6,Lead Data Scientist,"Mountain View, CA, USA",Jobot,Posted 10 days ago,"This Jobot Job is hosted by: Christina Finster Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $130,000 - $160,000 per year A bit about us: Our client is an early stage startup that is on a mission to democratize AI by empowering business users to harness the power of AI and ML. Why join us? Remote Work Early stage start-up A founder who has exited multiple companies Job Details Deliver customer solutions with high-quality meeting the"
7,Data Scientist - Simulation Development,"St. Louis, MO, USA","Judge Group, Inc.",Posted 6 days ago,"Location: St. Louis, MO Description: *W2 Applicants Only - Cannot Support C2C* Our client is currently seeking a Data Scientist to design and develop simulation models for real world operating facilities and manufacturing sites using high level programming languages or commercial software. Responsibilities • Define appropriate development framework based on the model requirements • Interact with business partners to clear potential gaps in data, requirements or understanding of business out"
8,Data Scientist - Hosptial,"Los Angeles, CA, USA",Prosum,Posted 47 days ago,"Summary: The Keck Medical Center of seeks a Data Scientist to derive insights from the vast amounts of patient and environmental data available within our data warehouse. To achieve this goal, novel and creative machine learning and statistical analyses are needed. The incumbent will work closely with researcher teams to design analysis specifications, including input data specifications, data cleaning, algorithms, and interpretation of results. The incumbent will develop and implement algorithm"
9,Data Scientist,"Berkeley, CA, USA",HS Solutions,Posted 13 days ago,"Role: Data Scientist Location: Berkeley, CA Duration: Very long-term contract Required Skills • Relevant Data Science experience • Python • SQL Duties: Data science, building data lake using ARIMA models, LSTM model, Auto correlation-AR, Moving Average-MA, polynomial regression model"
10,Senior Data Scientist,"Chicago, IL, USA",Anira Solutions,Posted 4 days ago,"Role: Senior Data Scientist Location: Chicago, IL- Hybrid Duration: 12 Months Experience: 10 years Visa: H1B, Citizen, and TN Visa Top skills: Pandas, NumPy, Matplotlib, Scikit-learn, Keras, and TensorFlow regression, hypothesis testing, ANOVA, statistical process control Snowflake, SQL, AWS Job notes: This position will help with Analytics, in particular asset utilization including hours, location, and other telemetry data.The candidate will work on a variety of tasks including data pipeline, d"
11,Data Scientist - Modeling (Remote),"Fairfax, VA, USA",GovCIO,Posted 7 days ago,"Company Overview GovCIO is a team of transformers--people who are passionate about transforming government I.T. We believe in making a difference by developing digital strategies and delivering the technology-related innovation governmental operations that improve the citizen experience every day. But we can't do it alone. We welcome and nurture an inclusive and diversified work culture. Because different backgrounds, experiences, abilities, and perspectives make us better decision-makers, pro"
12,Entry level data scientist,"California City, CA, USA",SynergisticIT,Posted 10 days ago,SYNERGISTICIT wants every candidate to know that the Job Market is Challenging and to stand out you need to have exceptional skills and technologies and that's where we come in to make sure you get the attention which you need We are looking for Jobseekers wanting to file H1b visa Position open to all visas and US citizens We at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped thousands of candidates
13,Senior Data Scientist,"Irving, TX, USA",AgreeYa Solutions,Posted 21 days ago,"Hello, We at AgreeYa solutions are focused on hiring highly skilled professionals who are excited by the opportunity to make a true impact on their careers as well as on our clients' businesses. We power our clients’ success and drive our consultants’ career growth. We are seeking an experienced and outstanding Senior Data Scientist for one of our esteemed clients. Kindly have a look at the below JD and reach us with your updated resume. The job description is as follows: Senior Data Scientist"
14,Data Scientist - Entry Level,"Livermore, CA, USA",Lawrence Livermore National Laboratory,Posted 12 days ago,Company Description Join us and make YOUR mark on the World! Are you passionate about data science? Do you enjoy staying updated on the latest methods and developing solutions to novel data science problems? Are you interested in joining some of the brightest talent in the world to create solutions with national impact that advance our scientific fields and strengthen the United States' security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise
15,Data Scientist,Remote,Marriott International,Posted 14 days ago,"Live Fully at Marriott International – #1 Leader in Hospitality At Marriott International, you have the opportunity to grow in your career, work with teammates that feel like family, and help make our world a better place. The Marriott International HQ, located at 7750 Wisconsin Avenue, Bethesda, MD, 20814 is currently hiring a Data Scientist. Responsibilities include: Are you deeply curious about how machine learning could drive the future of work? Do you enjoy maneuvering complex data sets"
16,Research Data Scientist,Remote,"KPI Partners, Inc.",Posted 7 days ago,"Position: Research Data Scientist II Location: Remote Duration: 06 months Research Data Scientist II will be responsible for supporting analytical research activities for customer analytics solutions, hospital channel marketing and market access. The research data scientist II will be the data technical expert in algorithm development and research tool solutions around hospital exported electronic health record data. Responsibilities include setting up the analytic data files for further ana"
17,Data Scientist - Remote (W2 Only),Remote,Empower Professionals,Posted 14 days ago,"Role: Data Scientist Location: Remote Duration: 12+ Months W2 only Top 3 skills: Data Science, Statistical modeling and experience in production Responsibilities: Lead and participate in the design and implementation of large and/or architecturally significant applications Champion company standards and best practices; work to continuously improve software delivery processes and practices Build partnerships across the application, business and infrastructure teams Develop programming specifica"
18,Jr Data scientist,"Oakland, CA, USA","Corporate Solutions General, Inc.",Posted 17 days ago,"Competencies: Advanced knowledge of statistical programming language Python Solid experience in developing Tableau reports Clear understanding of logical and physical database design and data Strong database skills (MySQL, SQL Server) and ability to write, optimize and fine-tune complex SQL scripts Deep understanding of statistics and algorithms Responsibilities: Make recommendations regarding collection, extraction and transformation of large data sets Interpret data and analyze results Transl"
19,Healthcare Data Scientist - Hosptial Experience,"Los Angeles, CA, USA",Prosum,Posted 39 days ago,"Data Scientist Summary: The Keck Medical Center of seeks a Data Scientist to derive insights from the vast amounts of patient and environmental data available within our data warehouse. To achieve this goal, novel and creative machine learning and statistical analyses are needed. The incumbent will work closely with researcher teams to design analysis specifications, including input data specifications, data cleaning, algorithms, and interpretation of results. The incumbent will develop and impl"
0,Principal/Staff Data Scientist,"Miami, FL, USA",Kforce Technology Staffing,Posted 11 days ago,"RESPONSIBILITIES: Kforce's client, a global leader in analytics consulting and technology is searching for a Principal/Staff Data Scientist in New York, NY or Miami, FL. This company offers a cloud-based, managed software platform which delivers adaptive solutions for deeper business understanding and right-time planning and optimization for marketing and beyond. This role is hybrid/remote, on-site 2 days a week out of the Miami or NY office. Responsibilities: * In this role, the Principal/Staf"
1,Principal / Staff Data Scientist,"Dallas, TX, USA",Kforce Technology Staffing,Posted 11 days ago,"RESPONSIBILITIES: A Kforce client is seeking to hire a Principal/Staff Data Scientist in Dallas, Texas (TX). Summary: They offer a cloud-based, managed software platform which delivers adaptive solutions for deeper business understanding and right-time planning and optimization for marketing and beyond. This role is Hybrid remote, on-site 2 days a week out of Miami or NY Office. Responsibilities include: * Promote analytics opportunities of the company and collaborate with business stakeholder"
2,Data Scientist,Remote,Charter Solutions Inc.,Posted 28 days ago,"Data Scientist Information Technology Data Scientist Data Scientist Roles and Responsibilities Building algorithms and designing experiments to merge, manage, analyze, and extract data for tailored reports to colleagues, clients or management. Creating, managing, and utilizing high performance relational and NoSQL databases, such as Microsoft SQL Server, Oracle, Microsoft Access, OLAP and other software. Selecting and implementing data mining methods most relevant to company projects and des"
3,Lead Data Scientist,"Toronto, ON, Canada",Motion Recruitment,Posted 19 days ago,"Are you a motivated Data Scientist looking for a new contract opportunity? We are an established computer software company that is revolutionizing the ability to make fast and confident decisions for integrated business planning and digital supply chains by combining human intelligence with AI. We are looking to build out our team with an ambitious Lead Data Scientist. Experience with Python, SQL, Cloud and Docker/Kubernetes required for the role. Contract Duration: 3 - 4 Months and fully remote"
4,Sr Data Scientist,"Charlotte, NC, USA",Lowe's,Posted 18 days ago,"Job Summary The primary purpose of this role is to provide advanced analytical capabilities to support data science initiatives. This position gains experience in various areas including, but not limited to: predictive modeling; personalization and recommendation algorithms; natural language processing and text mining; search recall, precision, ranking, and related problems; optimization and mathematical programming with applications in labor scheduling, inventory and capacity planning, network"
5,000010 - Urgent Data Scientist UDF,"Dallas, TX, USA",LOGIXtech Solutions,Posted 3 days ago,MUST HAVE SAP ERP EXPERIENCE Job Description: Need help tuning SAP Promotion and Inventory/Sales Forecasting with UDF (Unified Demand Forecast). Job Requirements: Evaluate the characteristics of product Demand Influencing Factors (DIFs) such as promotions. Identify when sales is affected by public holidays like Christmas/Thanksgiving and other calendar events and suggest how they should be parametrized in UDF. Review parameter settings and the modelling. Assistance with the activation of new
6,Senior Data Scientist,"Santa Ana, CA, USA","Judge Group, Inc.",Posted 20 days ago,"Location: Santa Ana, CA Salary: $75.00 USD Hourly - $85.00 USD Hourly Description: Our client is currently seeking a Senior Data Scientist Title: Sr. Data Scientist Location: Santa Ana, CA (Hybrid) Length: 6-12+ month contract Description: What are the top 5-10 responsibilities for this position? (Please be detailed as to what the candidate is expected to do or complete on a daily basis) AI/ML analytic data model developmentQuality check of output from other developersData exploration/"
7,"Associate Data Scientist, Analytics","Reston, VA, USA",comScore,Posted 13 days ago,"December 13, 2022 Associate Data Scientist, Analytics Per Executive Order 14042, new or prospective Comscore, Inc. employees in the United States, must provide proof of complete vaccination, or approved exemption on the first day of their employment. Extracts, transforms, and analyzes data, finding insights and answering questions about the content of the data. Performs analytical hypothesis testing and modeling to provide key insight to internal and external clients. Supports sales function by"
8,Senior Data Scientist,"Irving, TX, USA",Vistra Corp,Posted 26 days ago,"The Sr. Data Scientist – Advanced Analytics would be a business oriented, results driven, self-starter individual contributor, who would take end-to-end ownership of achieving business objectives through the development, application and deployment of advanced analytics models. In order to succeed in this role the applicant should be a very strong team player, eager to take on challenges and responsibility of increasing complexity, have impeccable attention to detail, be fully accountable for bus"
9,Data Scientist,Remote,Echelon IT Inc,Posted 21 days ago,"3+ years of experience as Data ScientistMust be able to discover the information hidden in vast amounts of data, to enable smarter decisions that will deliver even better products.Experience with applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.Experience with Selecting features, building, and optimizing classifiers using machine learning techniques, Data mining using state-of-the-art methods.Experience with En"
10,Data Scientist,"Bellevue, WA, USA",Information Technology Group,Posted 21 days ago,"Location: The position will be based on-site. Typically, 3-4 days a week on-site. Remote candidates will NOT be considered. Does this resource require US citizenship? No Is driving a requirement for this assignment? No Description: Strong Problem-solving mindset desired. High Proficiency in SQL & Python required. Understanding of visualization tools required. Wireless Experience a plus. At least 7 years relevant experience required. Help us discover the information hidden in vast amounts of d"
11,Entry Level Data Scientist,"Los Angeles, CA, USA",SynergisticIT,Posted 18 days ago,Job Description SYNERGISTICIT wants every candidate to know that the Job Market is Challenging and to stand out you need to have exceptional skills and technologies and that's where we come in to make sure you get the attention which you need We are looking for Jobseekers wanting to file H1b visa Position open to all visas and US citizens We at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped thousan
12,Data Scientist,"New York, NY, USA",hackajob,Posted 21 days ago,"What You’ll Do Analyze corporate bond market activity and market micro-structure, including proprietary company data. Maintain and innovate on our award-winning pricing product, Composite Plus. Take ownership for existing research products and reports. Assist in the development and production of new products and reports. Work closely with global product and development teams to enrich client trading solutions. Create and maintain presentation materials for internal and external meetings. Other"
13,Data Scientist/ NLP/ Python/ Client Facing,"Philadelphia, PA, USA",Motion Recruitment,Posted 4 days ago,"This healthcare data analytics company based in Philadelphia, PA is on a mission to improve the quality of life for millions of people living their lives with rare diseases. Through state of the art technology and machine learning, the company is helping to create solutions that will help accelerate treatment discovery and improve options for the patients and care givers of those who live with underserved diseases by analyzing conversations and reflections on social media that represent and help"
14,Senior Data Scientist,Remote,comScore,Posted 24 days ago,"December 8, 2022 Senior Data Scientist Per Executive Order 14042, new or prospective Comscore, Inc. employees in the United States, must provide proof of complete vaccination, or approved exemption on the first day of their employment. The Senior Data Scientist position is part of the Television & Cross Platform Analytics team that provides internal services for building and maintaining the data science methodologies comprising Comscore's projection system for US national television, local tele"
15,Data Scientist,"Tampa, FL, USA",Apex Systems,Posted 32 days ago,"Job#: 1311957 Job Description: Data Scientist Job Opportunity! Apex Systems, the nation's 2nd largest IT staffing firm, is seeking a Data Analyst to work with a reputable, national top Fortune 500 healthcare payer client. If interested, send a resume to Makaela Bartoli, Technical Recruiter, at All applicants must be able to work on Apex's W2. *No C2C please* Location: 100% Remote Length: 6 Month CTH Pay Rate: $65-$75/HR The top MUST HAVE requirements for this position: 5+ years of experien"
16,Ecommerce Data Scientist,"Boston, MA, USA",Motion Recruitment,Posted 26 days ago,"Job Description Our client is a venture-backed, direct-to-consumer startup company that is creating transformational hydration products that reimagine the way in which flavored drinks are created and enjoyed. You may have heard of them going viral on TikTok! They are looking to hire their very first Data Scientist, where you will be analyzing customer data and provide actionable insights with the purpose of gaining and retaining customers. In a nutshell, you will be tackling challenges across lo"
17,Sr. Data Scientist with Machine Learning,"Remote or Irving, TX, USA","InfoVision, Inc.",Posted 60+ days ago,"Hello, Hope you are doing Good. We have an immediate requirement with our Direct Client Job Title: Sr. Data Scientist with Machine Learning Location: Irving, TX Duration: 12+ Months Job Description: Need Strong Data Scientist with Machine LearningBuilt Machine learningStrong in Spark using Scala and Spark, pythonAzure Data Factory, PowerBI, SQL DB, Cosmos, Visual Studio, Microsoft Teams,Excel, Azure DevOpsStrong background in statisticsRisk management/modeling experienceSrinath Assistant Manag"
18,Senior Data Scientist,"Lone Tree, CO, USA","Charles Schwab & Co., Inc.",Posted 25 days ago,"Your Opportunity The Schwab Asset Management, Sales Analytics team is embedded within the Sales team to provide close alignment and support to Sales. We are salespeople using analytic tools and techniques to drive enhanced sales outcomes. One's contribution can be seen daily in the effectiveness of the sales team's outreach, marketing campaigns, and deepening of existing client relationships. We are looking for a highly-motivated, dedicated Data Scientist to help deliver concrete opportunities,"
19,Entry Level Data Scientist,"Austin, TX, USA",SynergisticIT,Posted 21 days ago,About Us: Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology. Job description Good understanding of the below models Identify valuable data sources an
0,Senior Data Scientist,"Norfolk, VA, USA",Datson360 LLC,Posted 34 days ago,"The Contractor shall contribute to the development of new deliverables and urging emerging work stands; and ensure the dissemination of the resulting products.The Contractor will support the aforementioned, with focus on the following:Technical expertise in Branch regarding the application of data science and analytics to strategic alternatives. Leverages various statistical techniques to identify patterns within large data sets to make predictions and enterprise- oriented suggestions. Utilizes"
1,Entry Level Data Scientist,"Jacksonville, FL, USA",SynergisticIT,Posted 21 days ago,About Us: Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology. Job description Good understanding of the below models Identify valuable data sources a
2,"Research Data Scientist II, Health Economics & Outcomes Research (HEOR)",Remote,Amick Brown,Posted 42 days ago,"Amick Brown is seeking an experienced Research Data Scientist II, Health Economics & Outcomes Research (HEOR) for our direct client. Location: Remote Duration: 6 Months Description Joining our clients means joining a team dedicated to using technology to benefit patients by improving surgical efficacy and decreasing surgical invasiveness, with patient safety as our highest priority. Primary Function of Position Research Data Scientist II will be responsible for supporting analytical research ac"
3,Data Scientist (Optimization Models),Remote,Infotree Service Inc.,Posted 4 days ago,"Description: • PhD in Mathematics, Statistics, Industrial Engineering, Operations Research or a related field with statistics courses/publications/proven expertise or Master's degree plus 2 years of industry experience. • Proficient in optimization theory, mipgap analysis, production deployment of optimization models. • Proficiency in Python programming and querying in SQL are must-have skills. • Working knowledge of the following programming languages such as R and Java is a plus."
4,Sr Machine Learning Engineer/Data Scientist,"Herndon, VA, USA",SAIC,Posted 13 days ago,"Job ID: 2217794 Location: HERNDON , VA , US Date Posted: 2022-12-12 Category: Information Technology Subcategory: Data Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: TS/SCI with Poly Clearance Level Must Be Able to Obtain: TS/SCI with Poly Potential for Remote Work: No Description Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the advances in machine learning and arti"
5,Lead Data Scientist,Remote,"Tantus Technologies, Inc",Posted 17 days ago,"Tantus Technologies, Inc. (Tantus) - recognized by the Washington Post as a Top Workplace - is seeking a Lead Data Scientist with focus on Data Analytics, Artificial Intelligence/Machine Learning/NLP, within Federal government and in health-care space to help Tantus build solutions for our customers that enable them to extract value and seek insights from their data. You will be responsible for architecting, engineering, accessing and manipulating large data sets both structured and un-structur"
6,Data Scientist (ML Engineer),"Westlake, TX, USA",SPECTRAFORCE TECHNOLOGIES Inc.,Posted 10 days ago,"Role: Data Scientist (ML Engineer) Location: Westlake, TX (1 week onsite/Month) Duration: 12+ Months W2 Only Must Haves: Python (programing building a model EDA and data analytic) Analytics – analytical mindset to find out patternsSnowflake – Big DataThe Expertise and Skills You BringBS/MS in Engineering, Computer Science or Data ScienceStrong Problem Solver and Mathematical thinkingStrong analytic skills related to working with both structured and unstructured datasets.1-5 years of software"
7,"Data Scientist (Hybrid, DC Region)","Washington, DC, USA",TCG,Posted 3 days ago,"You've stumbled upon the rare B Corp government contractor! At TCG, we aim to prove that businesses can be good to their employees and responsible to their community while being profitable. We're an award-winning IT solutions provider to the Federal government, seeking a Data Scientist, ideally with a background in cybersecurity, to join our team. The Data Analyst will work in a high-profile agency in the Executive Branch, at the very center of government management. Any candidate applying for t"
8,Python Data Scientist,Remote,"Brains Workgroup, Inc.",Posted 18 days ago,"Python Data Scientist One of our clients, a Market Research Company that transforms Consumer Packaged Goods (CPG) and Retail Industries into true data driven digital enterprises, is looking for a talented Python Data Scientist Permanent (full time) position with excellent compensation package and benefits. Location: 100% Remote position (East Coast preferred) Sorry, no H1b Visa Support for this role Please read the description below and to be considered immediately email your resume to barry"
9,Geospatial Data Scientist,"Washington, DC, USA",MAXAR Technologies,Posted 27 days ago,"Please review the job details below. Maxar is looking to add a Geospatial Data Scientist with strong geospatial skills for an intelligence community project linked to current world events. Life with Us Project: Expanding on an existing prototype, the selected candidate will help create a workflow that highlights the activity of target demographics over a broad area. Data Scientists who enjoy creative problem solving with uninterrupted access to large and diverse datasets will excel in this work"
10,Data Scientist II,"Irving, TX, USA",Christus Health,Posted 27 days ago,"Description SUMMARY In this role, you will working collaboration with stakeholders from various departments within the organization to provide advanced data-driven solutions, business insights and support decisions. As a data scientist II in the analytics team, you will have a sound knowledge and experience Statistical Models, Data Mining, Machine Learning, building analytical solutions to deliver insights, insights communication and presentation, as well as demonstrating the ability to combine"
